Category,Resume
Technology,"Education: Bachelor's in Computer Science Experience: 2 years Skills: Market Research, Maven, Java, REST API, Spring Boot, Microservices, Statistics, SQL Bachelor's in Computer Science Market Research|Maven|Java|REST API|Spring Boot|Microservices|Statistics|SQL Java Backend Developer"
Science & Research,"Education: Master's in Microbiology Experience: 3 years Skills: Agile, Data Analysis, Precision, Problem Solving, Scala, Research, Business Development, Microbiology Master's in Microbiology Agile|Data Analysis|Precision|Problem Solving|Scala|Research|Business Development|Microbiology|Laboratory Work Microbiologist"
Skilled Trades,"Education: Apprenticeship Experience: 2 years Skills: React, Customer Service, Technical Knowledge, Plumbing Systems, Problem Solving, PostgreSQL, Code Knowledge, Creativity Apprenticeship React|Customer Service|Technical Knowledge|Plumbing Systems|Problem Solving|PostgreSQL|Code Knowledge|Creativity|Safety|iOS Plumber"
Technology,"Education: Bachelor's in Computer Science Experience: 0 years Skills: MySQL, Query Optimization, Symfony, Terraform, PHP, HTML/CSS, API Development, Financial Analysis Bachelor's in Computer Science MySQL|Query Optimization|Symfony|Terraform|PHP|HTML/CSS|API Development|Financial Analysis|Web Accessibility|Laravel|C++ PHP Developer"
Creative & Design,"Education: Bachelor's in Design Experience: 3 years Skills: Problem Solving, Docker, Creativity, Scrum, Ansible, Communication, Team Leadership, Design Principles Bachelor's in Design Problem Solving|Docker|Creativity|Scrum|Ansible|Communication|Team Leadership|Design Principles|Artistic Direction|Visual Communication Art Director"
Administration,"Education: Administrative Certification Experience: 2 years Skills: CI/CD, Problem Solving, Database Design, PyTorch, Deep Learning, Communication, Executive Support, Discretion Administrative Certification CI/CD|Problem Solving|Database Design|PyTorch|Deep Learning|Communication|Executive Support|Discretion|Organization|Leadership Support|Creativity Executive Assistant"
Technology,"Education: Bachelor's in Computer Science Experience: 3 years Skills: Distributed Systems, CQL, Cassandra, Performance, NoSQL, Scalability, Business Development, Machine Learning Bachelor's in Computer Science Distributed Systems|CQL|Cassandra|Performance|NoSQL|Scalability|Business Development|Machine Learning Cassandra Developer"
Data & Analytics,"Education: Bachelor's in IT Experience: 1 years Skills: Performance Tuning, SQL, ETL, Data Integration, JavaScript, Scikit-learn, Kanban, Web Accessibility Bachelor's in IT Performance Tuning|SQL|ETL|Data Integration|JavaScript|Scikit-learn|Kanban|Web Accessibility|GCP|Informatica|Data Quality Informatica Developer"
Healthcare,"Education: PT License Experience: 4 years Skills: Communication, Swift, Anatomy Knowledge, Exercise Prescription, Physical Therapy, Patient Assessment, Compassion, PHP PT License Communication|Swift|Anatomy Knowledge|Exercise Prescription|Physical Therapy|Patient Assessment|Compassion|PHP|Strategic Planning Physical Therapist"
Technology,"Education: Bachelor's in Computer Science Experience: 5 years Skills: PostgreSQL, Distributed Systems, Kanban, Phoenix Framework, Functional Programming, Compliance, Elixir, Erlang Bachelor's in Computer Science PostgreSQL|Distributed Systems|Kanban|Phoenix Framework|Functional Programming|Compliance|Elixir|Erlang|Problem Solving Elixir Developer"
Technology,"Education: Master's in Computer Science Experience: 6 years Skills: Statistics, Research, Deep Learning, Shell Scripting, Python, TensorFlow, PyTorch, Network Security Master's in Computer Science Statistics|Research|Deep Learning|Shell Scripting|Python|TensorFlow|PyTorch|Network Security Machine Learning Engineer"
Entertainment & Media,"Education: Associate in Broadcast Technology Experience: 1 years Skills: Technical Knowledge, Safety, Jenkins, Attention to Detail, Equipment Operation, Graphic Design, Troubleshooting, Problem Solving Associate in Broadcast Technology Technical Knowledge|Safety|Jenkins|Attention to Detail|Equipment Operation|Graphic Design|Troubleshooting|Problem Solving|Swift|Broadcasting Broadcast Technician"
Conservation,"Education: Bachelor's in Environmental Science Experience: 4 years Skills: Problem Solving, Web Accessibility, Communication, Environmental Knowledge, Conservation, React Native, Swift, R Bachelor's in Environmental Science Problem Solving|Web Accessibility|Communication|Environmental Knowledge|Conservation|React Native|Swift|R|Safety|Law Enforcement|Microservices Conservation Officer"
Technology,"Education: Bachelor's in Computer Science Experience: 4 years Skills: Problem Solving, Clojure, LispyScript, Concurrency, Functional Programming, Java Interop, Node.js, Presentation Skills Bachelor's in Computer Science Problem Solving|Clojure|LispyScript|Concurrency|Functional Programming|Java Interop|Node.js|Presentation Skills Clojure Developer"
Technology,"Education: Bachelor's in Computer Science Experience: 3 years Skills: Account Management, Problem Solving, Client Relations, Python, Communication, Business Acumen, Technical Knowledge, Product Knowledge Bachelor's in Computer Science Account Management|Problem Solving|Client Relations|Python|Communication|Business Acumen|Technical Knowledge|Product Knowledge Technical Account Manager"
Consulting,"Education: IT Certification Experience: 3 years Skills: Creativity, Scala, Tableau, Technical Expertise, System Design, IT Knowledge, Communication, Problem Solving IT Certification Creativity|Scala|Tableau|Technical Expertise|System Design|IT Knowledge|Communication|Problem Solving|Project Management IT Consultant"
Technology,"Education: Bachelor's in Computer Science Experience: 3 years Skills: NoSQL, Scalability, Performance, Cassandra, Distributed Systems, CQL, Perl, Strategic Planning Bachelor's in Computer Science NoSQL|Scalability|Performance|Cassandra|Distributed Systems|CQL|Perl|Strategic Planning|Technical Writing|Penetration Testing Cassandra Developer"
Energy & Utilities,"Education: Engineering License Experience: 5 years Skills: Adobe Creative Suite, Electrical Systems, Management, Safety, Problem Solving, iOS, Financial Analysis, Project Management Engineering License Adobe Creative Suite|Electrical Systems|Management|Safety|Problem Solving|iOS|Financial Analysis|Project Management|Leadership|PyTorch|Regulatory Knowledge Electrical Utilities Manager"
Beauty & Wellness,"Education: Beauty School Experience: 2 years Skills: AWS, Nail Care, Jenkins, Artistry, Sanitation, Customer Service, Precision, Communication Beauty School AWS|Nail Care|Jenkins|Artistry|Sanitation|Customer Service|Precision|Communication|Business Acumen Nail Technician"
Agriculture,"Education: Experience Experience: 1 years Skills: Business Skills, Health Knowledge, Leadership, Responsive Design, Equipment, Problem Solving, Livestock Care, PostgreSQL Experience Business Skills|Health Knowledge|Leadership|Responsive Design|Equipment|Problem Solving|Livestock Care|PostgreSQL|Network Security Livestock Manager"
Data & Analytics,"Education: Bachelor's in Statistics Experience: 3 years Skills: Problem Solving, Data Management, Django, Visualization, Serverless, SAS, SQL, Statistical Analysis Bachelor's in Statistics Problem Solving|Data Management|Django|Visualization|Serverless|SAS|SQL|Statistical Analysis SAS Programmer"
Creative & Design,"Education: Bachelor's in 3D Art Experience: 2 years Skills: Creativity, App Testing, Software Skills, Rendering, HTML, Texturing, 3D Modeling, Adobe Creative Suite Bachelor's in 3D Art Creativity|App Testing|Software Skills|Rendering|HTML|Texturing|3D Modeling|Adobe Creative Suite|Problem Solving 3D Artist"
Beauty & Wellness,"Education: Esthetics School Experience: 4 years Skills: Deep Learning, Technical Skills, Facial Treatment, Skincare, Communication, Business Development, MySQL, Customer Service Esthetics School Deep Learning|Technical Skills|Facial Treatment|Skincare|Communication|Business Development|MySQL|Customer Service|React Native|Product Knowledge Esthetician"
Data & Analytics,"Education: Bachelor's in Computer Science Experience: 3 years Skills: SQL, Analytics, React, dbt, Cloud Platforms, Documentation, Pandas, Creativity Bachelor's in Computer Science SQL|Analytics|React|dbt|Cloud Platforms|Documentation|Pandas|Creativity|MongoDB|Data Modeling|Python Analytics Engineer"
Data & Analytics,"Education: Bachelor's in IT Experience: 3 years Skills: Informatica, Performance Tuning, SQL, React, GCP, Data Integration, ETL, Data Quality Bachelor's in IT Informatica|Performance Tuning|SQL|React|GCP|Data Integration|ETL|Data Quality|Wireframing Informatica Developer"
Data & Analytics,"Education: Bachelor's in Statistics Experience: 0 years Skills: Terraform, SQL, Python, Excel, MongoDB, Statistical Analysis, Data Visualization, REST API Bachelor's in Statistics Terraform|SQL|Python|Excel|MongoDB|Statistical Analysis|Data Visualization|REST API|Tableau|HTML|Project Management Data Analyst"
Healthcare,"Education: Doctor of Pharmacy Experience: 4 years Skills: Patient Counseling, Attention to Detail, Microservices, Firewalls, Pharmacy Knowledge, Communication, MySQL, Drug Interactions Doctor of Pharmacy Patient Counseling|Attention to Detail|Microservices|Firewalls|Pharmacy Knowledge|Communication|MySQL|Drug Interactions|Accuracy Pharmacist"
Technology,"Education: Bachelor's in Computer Science Experience: 5 years Skills: API Development, Go, PyTorch, Concurrency, Scrum, Swift, Problem Solving, Responsive Design Bachelor's in Computer Science API Development|Go|PyTorch|Concurrency|Scrum|Swift|Problem Solving|Responsive Design|Web Accessibility|Docker|Microservices Go Developer"
Conservation,"Education: Bachelor's in Environmental Science Experience: 3 years Skills: Conservation, Problem Solving, User Experience, Environmental Knowledge, Safety, Law Enforcement, Creativity, Penetration Testing Bachelor's in Environmental Science Conservation|Problem Solving|User Experience|Environmental Knowledge|Safety|Law Enforcement|Creativity|Penetration Testing|Node.js|Communication|Budget Management Conservation Officer"
Private Sector Management,"Education: Master's in Business Experience: 8 years Skills: User Experience, Department Management, Leadership, GCP, Decision Making, Strategic Planning, Budget Control, GraphQL Master's in Business User Experience|Department Management|Leadership|GCP|Decision Making|Strategic Planning|Budget Control|GraphQL|Database Design|Communication Director"
Entertainment & Media,"Education: Bachelor's in Production Experience: 2 years Skills: Technical Knowledge, Communication, Problem Solving, Creativity, Leadership, Negotiation, Production Management, Angular Bachelor's in Production Technical Knowledge|Communication|Problem Solving|Creativity|Leadership|Negotiation|Production Management|Angular Producer"
Technology,"Education: Bachelor's in Game Development Experience: 2 years Skills: Game Physics, C++, SQL, Penetration Testing, App Testing, Graphics Programming, Unreal Engine, Unity Bachelor's in Game Development Game Physics|C++|SQL|Penetration Testing|App Testing|Graphics Programming|Unreal Engine|Unity|Time Management|HTML|C# Game Developer"
Science & Research,"Education: Bachelor's in Geology Experience: 3 years Skills: Research, Analysis, Technical Knowledge, TensorFlow, Negotiation, Field Work, HTML, Geology Bachelor's in Geology Research|Analysis|Technical Knowledge|TensorFlow|Negotiation|Field Work|HTML|Geology|Problem Solving Geologist"
Education & Training,"Education: Teaching Credential Experience: 1 years Skills: Patience, Figma, Instruction, HTML, Classroom Management, Market Research, Communication, Curriculum Development Teaching Credential Patience|Figma|Instruction|HTML|Classroom Management|Market Research|Communication|Curriculum Development|Student Assessment Teacher"
Entertainment & Media,"Education: Bachelor's in Journalism Experience: 1 years Skills: Business Acumen, Android, Attention to Detail, Documentation, Technical Writing, Content Editing, Communication, Organization Bachelor's in Journalism Business Acumen|Android|Attention to Detail|Documentation|Technical Writing|Content Editing|Communication|Organization|Writing|Management Editor"
Technology,"Education: Bachelor's in Engineering Experience: 3 years Skills: Communication, Customer Relations, Sales, Product Knowledge, Technical Problem Solving, Presentation, Solution Design, Adaptability Bachelor's in Engineering Communication|Customer Relations|Sales|Product Knowledge|Technical Problem Solving|Presentation|Solution Design|Adaptability|C#|SEO Solutions Engineer"
